City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,nizhniy kuranakh,58.8353,125.4869,13.99,92,100,1.29,RU,2024-08-06 22:59:25
69,hermanus,-34.4187,19.2345,8.78,84,0,1.46,ZA,2024-08-06 22:59:25
70,bonito,-21.1211,-56.4819,24.82,28,19,2.01,BR,2024-08-06 22:58:25
71,st. john's,47.5649,-52.7093,18.77,87,75,7.2,CA,2024-08-06 22:59:25
72,tolanaro,-25.0319,46.9987,22.04,83,75,5.14,MG,2024-08-06 22:59:25
73,albany,42.6001,-73.9662,19.77,97,94,2.14,US,2024-08-06 22:58:31
74,srbac,45.0978,17.525,18.07,56,0,1.08,BA,2024-08-06 22:59:26
75,port saint john's,-31.6229,29.5448,14.32,68,0,1.96,ZA,2024-08-06 22:59:26
76,mermoz boabab,14.7065,-17.4758,27.88,83,75,2.06,SN,2024-08-06 22:59:26
77,plastun,44.7561,136.2939,24.58,82,2,1.16,RU,2024-08-06 22:59:26
78,fale old settlement,-9.3852,-171.2468,28.15,76,67,7.07,TK,2024-08-06 22:59:26
79,zemio,5.0314,25.1361,21.99,91,100,0.15,CF,2024-08-06 22:59:26
80,papatowai,-46.5619,169.4708,10.78,56,65,2.65,NZ,2024-08-06 22:59:26
81,port hedland,-20.3167,118.5667,14.03,67,5,4.12,AU,2024-08-06 22:59:27
82,san patricio,28.017,-97.5169,34.05,48,31,6.06,US,2024-08-06 22:59:27
83,kailua-kona,19.6406,-155.9956,27.98,84,75,4.12,US,2024-08-06 22:59:27
84,muynoq,43.7683,59.0214,30.17,21,6,5.11,UZ,2024-08-06 22:59:27
85,saint-marc,19.1082,-72.6938,29.31,76,61,2.63,HT,2024-08-06 22:59:27
86,conduaga,8.862,117.4893,26.22,88,100,1.89,PH,2024-08-06 22:59:27
87,maha sarakham,16.3333,103.6667,27.73,89,100,2.54,TH,2024-08-06 22:59:27
88,saint-denis,48.9167,2.3333,21.79,82,0,4.63,FR,2024-08-06 22:59:28
89,labrador city,52.9463,-66.9114,11.95,62,40,4.63,CA,2024-08-06 22:59:28
90,cockburn town,21.4612,-71.1419,28.08,85,75,7.63,TC,2024-08-06 22:59:28
91,bredasdorp,-34.5322,20.0403,9.08,91,0,1.28,ZA,2024-08-06 22:59:28
92,mount gambier,-37.8333,140.7667,8.59,95,95,3.19,AU,2024-08-06 22:59:28
93,flores,16.9226,-89.8994,33.06,56,63,0.41,GT,2024-08-06 22:55:24
94,mahanoro,-19.9,48.8,20.82,83,61,1.22,MG,2024-08-06 22:59:29
95,gowurdak,37.8124,66.0466,27.93,20,0,0.72,TM,2024-08-06 22:59:29
96,ujae,8.9322,165.7642,28.61,75,100,4.04,MH,2024-08-06 22:59:29
97,rongelap,11.1635,166.8941,28.57,77,94,5.19,MH,2024-08-06 22:59:29
98,pacific grove,36.6177,-121.9166,28.64,81,0,3.09,US,2024-08-06 22:59:29
99,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,1.0,RU,2024-08-06 22:59:29
100,santa terezinha,-29.9002,-50.0904,16.47,98,100,7.36,BR,2024-08-06 22:59:30
101,hasaki,35.7333,140.8333,29.22,86,23,4.54,JP,2024-08-06 22:59:30
102,bikenibeu village,1.3673,173.1241,30.98,70,20,2.06,KI,2024-08-06 22:59:30
103,papao,-17.75,-149.55,28.82,79,0,10.34,PF,2024-08-06 22:59:30
104,la passe,45.5549,-0.8967,21.34,93,97,4.05,FR,2024-08-06 22:59:30
105,abnub,27.2696,31.1511,31.12,24,14,2.5,EG,2024-08-06 22:59:31
106,nemuro,43.3236,145.575,17.79,100,100,2.71,JP,2024-08-06 22:59:31
107,ak'ordat,15.5486,37.8867,22.68,90,100,4.9,ER,2024-08-06 22:59:31
108,mugia,43.1041,-9.2179,19.53,78,14,7.58,ES,2024-08-06 22:59:31
109,ola,59.5833,151.2833,10.22,90,100,1.33,RU,2024-08-06 22:59:31
110,itamaraca,-7.7478,-34.8256,26.03,81,25,4.74,BR,2024-08-06 22:59:31
111,springfield,37.2153,-93.2982,34.18,63,1,1.79,US,2024-08-06 22:59:31
112,kindia,10.0569,-12.8658,20.88,99,100,0.53,GN,2024-08-06 22:59:32
113,san antonio de pale,-1.4014,5.6325,22.82,77,93,5.41,GQ,2024-08-06 22:59:32
114,hawaiian paradise park,19.5933,-154.9731,27.73,70,40,4.12,US,2024-08-06 22:59:32
115,kindu,-2.95,25.95,22.69,38,8,0.57,CD,2024-08-06 22:59:32
116,kiruna,67.8557,20.2251,9.51,93,35,2.06,SE,2024-08-06 22:59:32
117,mancio lima,-7.6142,-72.8958,28.04,78,75,3.6,BR,2024-08-06 22:59:33
118,whitehorse,60.7161,-135.0538,27.83,25,0,6.71,CA,2024-08-06 22:59:33
119,alotau,-10.3069,150.4462,25.09,87,97,1.8,PG,2024-08-06 22:59:33
120,undurkhaan,47.3194,110.6556,18.23,74,40,1.65,MN,2024-08-06 22:59:33
121,pinckneyville,38.0803,-89.382,34.1,60,0,7.92,US,2024-08-06 22:59:33
122,portland,45.5234,-122.6762,28.7,43,0,2.68,US,2024-08-06 22:49:07
123,magadan,59.5667,150.8,10.06,92,100,2.57,RU,2024-08-06 22:59:34
124,puerto ayora,-0.7393,-90.3518,21.98,89,56,2.24,EC,2024-08-06 22:59:34
125,vilyuchinsk,52.9306,158.4028,14.15,96,100,1.42,RU,2024-08-06 22:59:34
126,quatre cocos,-20.2078,57.7625,18.94,73,2,3.74,MU,2024-08-06 22:59:34
127,tieli,46.95,128.05,22.59,91,100,1.63,CN,2024-08-06 22:59:34
128,hidden valley,39.1623,-84.843,33.77,60,0,2.57,US,2024-08-06 22:59:34
129,alice springs,-23.7,133.8833,5.75,87,2,0.0,AU,2024-08-06 22:59:34
130,constantia,44.1833,28.65,17.61,86,11,4.66,RO,2024-08-06 22:59:35
131,port elizabeth,-33.918,25.5701,10.73,94,0,1.54,ZA,2024-08-06 22:59:35
132,kerman,30.2832,57.0788,24.92,23,0,2.06,IR,2024-08-06 22:59:35
133,uliastay,47.7417,96.8444,11.9,40,55,2.41,MN,2024-08-06 22:59:35
134,malvan,16.0667,73.4667,26.11,85,100,3.35,IN,2024-08-06 22:59:35
135,smithers,54.7804,-127.1743,27.18,28,20,2.06,CA,2024-08-06 22:59:35
136,acarau,-2.8856,-40.12,25.31,79,6,8.03,BR,2024-08-06 22:59:36
137,walvis bay,-22.9575,14.5053,12.27,95,47,1.85,NA,2024-08-06 22:59:36
138,brooks,50.5834,-111.8851,18.99,65,87,5.66,CA,2024-08-06 22:59:36
139,iskateley,67.6803,53.1512,5.46,85,19,3.3,RU,2024-08-06 22:59:36
140,carora,10.1755,-70.0827,24.15,85,93,3.37,VE,2024-08-06 22:59:36
141,santana,-0.0583,-51.1817,30.1,70,40,4.63,BR,2024-08-06 22:59:36
142,kokopo,-4.352,152.2633,27.44,78,68,2.82,PG,2024-08-06 22:59:36
143,codrington,-38.2667,141.9667,8.67,90,51,5.15,AU,2024-08-06 22:59:37
144,bayston hill,52.6764,-2.7722,15.01,86,1,3.37,GB,2024-08-06 22:59:37
145,sitka,57.0531,-135.33,14.94,88,40,1.54,US,2024-08-06 22:59:37
146,saint-philippe,-21.3585,55.7679,19.77,73,26,1.94,RE,2024-08-06 22:59:37
147,dawson creek,55.7666,-120.2362,20.8,56,40,3.09,CA,2024-08-06 22:59:37
148,beyla,8.6833,-8.6333,20.41,99,100,1.77,GN,2024-08-06 22:59:37
149,san onofre,9.7359,-75.5263,27.32,80,100,2.1,CO,2024-08-06 22:59:37
150,tobol'sk,58.2,68.2667,15.07,98,100,3.24,RU,2024-08-06 22:59:38
151,kongsvinger,60.1905,11.9977,15.37,90,89,1.51,NO,2024-08-06 22:59:38
152,pir mahal,30.7667,72.4333,31.62,62,0,2.34,PK,2024-08-06 22:59:38
153,ilulissat,69.2167,-51.1,4.17,82,8,1.5,GL,2024-08-06 22:59:38
154,guadalupe,25.6833,-100.25,33.45,56,3,4.49,MX,2024-08-06 22:59:38
155,qaqortoq,60.7167,-46.0333,8.67,98,100,0.66,GL,2024-08-06 22:59:38
156,luau,-10.7073,22.2247,19.7,21,5,1.85,AO,2024-08-06 22:59:39
157,mossel bay,-34.1831,22.146,8.96,75,0,1.86,ZA,2024-08-06 22:59:39
158,lompoc,34.6391,-120.4579,36.5,42,4,4.3,US,2024-08-06 22:59:39
159,alcudia,39.8532,3.1214,26.22,65,0,3.63,ES,2024-08-06 22:59:39
160,tazovsky,67.4667,78.7,5.1,91,0,6.02,RU,2024-08-06 22:59:39
161,kutum,14.2,24.6667,22.36,79,99,6.73,SD,2024-08-06 22:59:39
162,talnakh,69.4865,88.3972,11.53,64,8,5.12,RU,2024-08-06 22:59:40
163,kiffa,16.6166,-11.4045,33.73,50,73,7.29,MR,2024-08-06 22:59:40
164,bireun,5.203,96.7009,24.34,83,99,1.98,ID,2024-08-06 22:59:40
165,iqaluit,63.7506,-68.5145,9.85,66,75,2.06,CA,2024-08-06 22:59:40
166,anadyr,64.75,177.4833,6.28,70,75,6.0,RU,2024-08-06 22:59:40
167,emsdetten,52.1833,7.5333,22.32,60,63,1.54,DE,2024-08-06 22:59:40
168,ancud,-41.8697,-73.8203,6.3,85,34,2.38,CL,2024-08-06 22:59:40
169,virginia,37.5481,-77.4467,28.07,81,75,6.17,US,2024-08-06 22:59:41
170,salinopolis,-0.6136,-47.3561,26.18,84,57,5.7,BR,2024-08-06 22:59:41
171,yarkovo,57.4028,67.0786,14.31,98,70,1.84,RU,2024-08-06 22:59:41
172,copiapo,-27.3667,-70.3333,14.13,60,0,1.89,CL,2024-08-06 22:58:39
173,dolinsk,47.35,142.8,23.0,69,10,1.86,RU,2024-08-06 22:59:41
174,yuzhno-kurilsk,44.0306,145.8556,17.91,99,100,2.07,RU,2024-08-06 22:59:41
175,hithadhoo,-0.6,73.0833,27.54,74,17,1.1,MV,2024-08-06 22:59:41
176,san andres,12.5847,-81.7006,28.01,83,40,6.69,CO,2024-08-06 22:59:42
177,songkhla,6.8333,100.6667,25.03,98,98,2.19,TH,2024-08-06 22:59:42
178,rundu,-17.9333,19.7667,16.0,20,0,1.92,NA,2024-08-06 22:59:42
179,varshets,43.1953,23.2861,16.68,61,0,1.38,BG,2024-08-06 22:59:42
180,arkalyk,50.2486,66.9114,25.96,29,95,7.65,KZ,2024-08-06 22:59:42
181,mata-utu,-13.2816,-176.1745,26.0,74,93,9.27,WF,2024-08-06 22:59:43
182,namibe,-15.1961,12.1522,18.31,91,31,2.54,AO,2024-08-06 22:59:43
183,dalandzadgad,43.5708,104.425,24.34,40,100,5.8,MN,2024-08-06 22:59:43
184,laibin,23.7,109.2667,26.61,86,35,1.21,CN,2024-08-06 22:59:43
185,mirador,-6.3708,-44.3631,26.11,38,20,1.95,BR,2024-08-06 22:59:43
186,nadi,-17.8,177.4167,24.0,57,40,2.57,FJ,2024-08-06 22:59:43
187,san juan de miraflores,-12.1629,-76.9635,17.71,82,64,4.91,PE,2024-08-06 22:59:44
188,buta,2.7858,24.73,22.12,90,100,0.29,CD,2024-08-06 22:59:44
189,timbuktu,16.7735,-3.0074,29.63,52,70,10.19,ML,2024-08-06 22:59:44
190,coquimbo,-29.9533,-71.3436,12.85,70,0,4.12,CL,2024-08-06 22:58:39
191,minas de marcona,-15.2119,-75.1103,10.77,88,10,6.73,PE,2024-08-06 22:59:44
192,tsiombe,-25.3,45.4833,19.71,81,76,3.73,MG,2024-08-06 22:59:45
193,adh dhibiyah,24.5014,45.9686,32.76,10,100,2.81,SA,2024-08-06 22:59:45
194,nicoya,10.1483,-85.452,25.1,91,88,0.97,CR,2024-08-06 22:59:45
195,christchurch,-43.5333,172.6333,11.49,78,1,4.47,NZ,2024-08-06 22:53:43
196,al burayqah,30.4062,19.5739,29.07,60,0,5.47,LY,2024-08-06 22:59:45
197,bayanhongor,46.7167,100.1167,10.24,59,61,1.36,MN,2024-08-06 22:59:45
198,turpan,42.9333,89.1667,34.86,20,100,3.85,CN,2024-08-06 22:59:45
199,stanley,54.868,-1.6985,13.21,81,0,3.6,GB,2024-08-06 22:59:46
200,aasiaat,68.7098,-52.8699,3.64,96,78,3.3,GL,2024-08-06 22:59:46
201,haiku-pauwela,20.9219,-156.3051,28.98,63,40,11.32,US,2024-08-06 22:59:46
202,lucapa,-8.4192,20.7447,20.17,26,82,0.45,AO,2024-08-06 22:59:46
203,aliveri,38.4167,24.0333,28.02,66,0,1.86,GR,2024-08-06 22:59:47
204,holladay,40.6688,-111.8247,38.54,20,0,5.66,US,2024-08-06 22:59:47
205,oamaru,-45.0784,170.9801,7.15,61,57,3.18,NZ,2024-08-06 22:59:47
206,kodiak,57.79,-152.4072,12.73,100,100,5.66,US,2024-08-06 22:59:47
207,geraldton,-28.7667,114.6,17.23,94,75,5.14,AU,2024-08-06 22:59:47
208,udachny,66.4167,112.4,10.18,65,57,1.01,RU,2024-08-06 22:59:47
209,lazaro cardenas,17.9583,-102.2,29.86,68,83,4.57,MX,2024-08-06 22:59:47
210,sosnovo-ozerskoye,52.5249,111.5418,15.36,63,15,2.52,RU,2024-08-06 22:59:48
211,sonoita,31.85,-112.8333,36.02,37,41,6.26,MX,2024-08-06 22:59:48
212,tremonton,41.7119,-112.1655,37.49,22,0,3.6,US,2024-08-06 22:59:48
213,enewetak,11.3474,162.3373,28.64,77,60,4.99,MH,2024-08-06 22:59:48
214,ivdel',60.6911,60.4206,10.08,96,100,2.92,RU,2024-08-06 22:59:48
215,sarangani,5.4033,125.4636,28.6,73,100,3.64,PH,2024-08-06 22:59:48
216,pisco,-13.7,-76.2167,18.03,77,18,11.32,PE,2024-08-06 22:59:48
217,harstad,68.799,16.5293,19.02,63,1,2.35,NO,2024-08-06 22:59:49
218,paka,4.6374,103.4368,24.96,94,44,0.0,MY,2024-08-06 22:59:49
219,lusaka,-15.4067,28.2871,14.14,51,0,1.03,ZM,2024-08-06 22:59:49
220,severo-yeniseyskiy,60.3725,93.0408,14.08,93,82,1.57,RU,2024-08-06 22:59:49
221,lieksa,63.3167,30.0167,11.15,77,15,3.34,FI,2024-08-06 22:59:49
222,ponta delgada,37.7333,-25.6667,24.4,83,20,5.14,PT,2024-08-06 22:59:50
223,hamilton,39.1834,-84.5333,33.98,55,8,3.13,US,2024-08-06 22:59:50
224,stuttgart,48.7823,9.177,22.46,80,0,1.54,DE,2024-08-06 22:59:50
225,bubaque,11.2833,-15.8333,26.2,85,100,7.62,GW,2024-08-06 22:59:50
226,maba,24.6841,113.5984,26.02,89,3,0.32,CN,2024-08-06 22:59:50
227,piti village,13.4626,144.6933,30.39,88,0,0.0,GU,2024-08-06 22:59:50
228,high river,50.5834,-113.8687,16.0,87,100,4.25,CA,2024-08-06 22:59:51
229,ribeira brava,32.65,-17.0667,24.35,80,2,1.02,PT,2024-08-06 22:59:51
230,shingu,33.7333,135.9833,28.79,75,50,1.18,JP,2024-08-06 22:59:51
231,nouadhibou,20.931,-17.0347,20.99,88,20,9.26,MR,2024-08-06 22:55:15
232,purcellville,39.1368,-77.7147,32.13,62,0,5.66,US,2024-08-06 22:59:51
233,fort st. john,56.2499,-120.8529,19.94,60,75,2.06,CA,2024-08-06 22:59:51
234,cupira,-8.6167,-35.95,17.98,98,9,1.67,BR,2024-08-06 22:59:51
235,eastham,41.8301,-69.9739,19.99,95,97,4.56,US,2024-08-06 22:59:52
236,kralendijk,12.15,-68.2667,29.99,74,9,8.23,BQ,2024-08-06 22:59:52
237,labytnangi,66.6572,66.4183,5.95,77,0,1.75,RU,2024-08-06 22:59:52
238,norrtalje,59.758,18.705,17.1,90,0,1.02,SE,2024-08-06 22:59:52
239,tonk,26.1667,75.7833,26.02,89,97,4.53,IN,2024-08-06 22:59:52
240,hastings,50.8552,0.5729,17.51,84,100,5.98,GB,2024-08-06 22:59:53
241,livingstone,-17.8419,25.8543,17.29,30,0,1.64,ZM,2024-08-06 22:59:53
242,cill airne,52.05,-9.5167,11.2,97,37,2.57,IE,2024-08-06 22:59:53
243,khandyga,62.6667,135.6,11.25,91,100,1.83,RU,2024-08-06 22:59:53
244,mount pearl,47.5166,-52.7813,18.31,87,75,7.2,CA,2024-08-06 22:59:53
245,hammerfest,70.6634,23.6821,17.25,59,5,2.06,NO,2024-08-06 22:57:44
246,san martin de los andes,-40.1604,-71.3486,-5.68,98,74,1.97,AR,2024-08-06 22:59:53
247,sola,-13.8833,167.55,24.97,64,44,10.97,VU,2024-08-06 22:59:54
248,utrik,11.2278,169.8474,28.39,78,86,5.68,MH,2024-08-06 22:59:54
249,belle fourche,44.6714,-103.8522,32.41,27,4,6.31,US,2024-08-06 22:59:54
250,bonthe,7.5264,-12.505,25.27,81,100,3.83,SL,2024-08-06 22:59:54
251,nuuk,64.1835,-51.7216,7.71,100,97,2.56,GL,2024-08-06 22:59:54
252,antofagasta,-23.65,-70.4,15.6,85,59,4.17,CL,2024-08-06 22:58:39
253,korla,41.7597,86.1469,23.26,54,84,4.68,CN,2024-08-06 22:59:55
254,aykhal,66.0,111.5,10.55,66,26,0.44,RU,2024-08-06 22:59:55
255,hassi messaoud,31.6804,6.0729,32.92,24,0,2.06,DZ,2024-08-06 22:59:55
256,prado,-17.3411,-39.2208,22.52,77,3,3.55,BR,2024-08-06 22:59:55
257,ufa,54.775,56.0375,14.65,90,70,0.82,RU,2024-08-06 22:59:56
258,sterling,39.0062,-77.4286,31.87,65,100,4.92,US,2024-08-06 22:58:37
259,wailua homesteads,22.0669,-159.378,28.19,66,75,6.69,US,2024-08-06 22:59:56
260,cumbum,9.7333,77.3,22.77,93,100,3.06,IN,2024-08-06 22:59:56
261,ishikawa,26.4233,127.8214,30.58,91,40,1.54,JP,2024-08-06 22:59:56
262,gadani,25.1185,66.7299,29.12,88,100,8.09,PK,2024-08-06 22:59:56
263,tucano,-10.9631,-38.7867,21.02,73,49,4.37,BR,2024-08-06 22:59:56
264,borogontsy,62.6683,131.1683,15.59,76,56,3.89,RU,2024-08-06 22:59:57
265,qinzhou,21.95,108.6167,27.55,88,8,2.33,CN,2024-08-06 22:59:57
266,santana do livramento,-30.8908,-55.5328,19.5,99,100,2.59,BR,2024-08-06 22:59:55
267,port lincoln,-34.7333,135.8667,10.87,71,5,5.94,AU,2024-08-06 22:59:57
268,wadesboro,34.9682,-80.0767,24.34,94,100,2.57,US,2024-08-06 22:55:45
269,new norfolk,-42.7826,147.0587,13.17,71,94,2.61,AU,2024-08-06 22:59:57
270,pemangkat,1.1667,108.9667,25.97,86,100,3.17,ID,2024-08-06 22:59:57
271,kingston,17.997,-76.7936,31.53,74,40,4.63,JM,2024-08-06 22:54:44
272,kourou,5.1552,-52.6478,26.03,92,12,3.31,GF,2024-08-06 22:59:58
273,dehui,44.5333,125.7,23.41,87,80,2.75,CN,2024-08-06 22:59:58
274,katsuren-haebaru,26.3369,127.8719,30.61,91,40,1.54,JP,2024-08-06 22:59:58
275,saipan,15.1355,145.701,29.39,84,0,2.57,MP,2024-08-06 22:59:58
276,kapuskasing,49.4169,-82.4331,20.05,45,75,4.12,CA,2024-08-06 22:59:59
277,san matias,-16.3667,-58.4,27.55,19,0,2.64,BO,2024-08-06 22:59:59
278,baoshan,46.5586,131.4244,23.38,90,100,1.43,CN,2024-08-06 22:59:59
279,leava,-14.3,-178.1667,25.6,66,9,9.32,WF,2024-08-06 22:59:59
280,north battleford,52.7834,-108.2847,20.78,52,20,2.57,CA,2024-08-06 22:57:01
281,yunak,38.8142,31.7322,19.76,40,24,3.9,TR,2024-08-06 23:00:00
282,luganville,-15.5333,167.1667,24.96,62,99,6.48,VU,2024-08-06 23:00:00
283,maxixe,-23.8597,35.3472,18.28,81,10,2.57,MZ,2024-08-06 22:55:14
284,sur,22.5667,59.5289,27.52,74,86,6.02,OM,2024-08-06 23:00:10
285,thompson,55.7435,-97.8558,13.09,94,100,5.14,CA,2024-08-06 23:00:11
286,moranha,27.1833,94.9333,24.66,97,78,1.3,IN,2024-08-06 23:00:11
287,queenstown,-31.8976,26.8753,8.15,27,0,1.28,ZA,2024-08-06 23:00:11
288,central point,42.376,-122.9164,35.55,21,0,1.34,US,2024-08-06 23:00:11
289,ghat,24.9647,10.1728,31.97,14,36,3.52,LY,2024-08-06 23:00:13
290,uturoa,-16.7333,-151.4333,25.89,86,16,8.07,PF,2024-08-06 23:00:13
291,ryotsu-minato,38.0833,138.4333,24.78,83,97,0.76,JP,2024-08-06 23:00:13
292,stanthorpe,-28.6667,151.95,9.68,95,49,3.27,AU,2024-08-06 23:00:14
